mod_code	motif	offset	frac_mod	high_count	low_count	mid_count	log_odds
m	CG	0	0.83202475	18921368	3819984	6488939	11.542089
h	CG	0	0.004198297	107940	25602485	3519866	8.972423
m	CA	0	0.0028186864	395557	139938254	562351	-5.192819
m	CT	0	0.0008445272	93434	110541249	186843	-6.7437
m	CC	0	0.000618303	43293	69975770	67709	-6.946876
h	CA	0	0.000014622312	2059	140810146	83957	-5.168446
h	CT	0	0.000004124602	457	110798110	22959	-6.819645
h	CC	0	0.0000026256553	184	70077560	9028	-7.2455916
a	A	0	0.00000007814424	46	588655014	19142	0
