mod_code	motif	offset	frac_mod	high_count	low_count	mid_count	log_odds
m	CG	0	0.82303226	13713464	2948658	4866311	11.417088
h	CG	0	0.005147824	96041	18560580	2871812	8.991751
m	CA	0	0.002896309	306701	105587040	423498	-5.084317
m	CT	0	0.00086954347	72689	83521752	133531	-6.6365423
m	CC	0	0.0006259872	33679	53767740	48747	-6.8721733
h	CA	0	0.00001729964	1838	106243145	72256	-5.161818
h	CT	0	0.000005256303	440	83708584	18948	-6.7066417
h	CC	0	0.0000037145453	200	53842190	7776	-6.988003
a	A	0	0.000000029732472	13	437232380	20157	0
