mod_code	motif	offset	frac_mod	high_count	low_count	mid_count	log_odds
m	CG	0	0.83853513	19541662	3762861	6669365	11.553954
h	CG	0	0.0042674635	111961	26124000	3737927	8.929457
m	CA	0	0.0029286807	414012	140950653	573746	-5.1643405
m	CT	0	0.00089623657	100129	111621488	197514	-6.688109
m	CC	0	0.0006378794	45651	71521168	68846	-6.9375696
h	CA	0	0.00001535435	2178	141846884	89349	-5.129003
h	CT	0	0.000004245062	475	111894240	24416	-6.812791
h	CC	0	0.0000028900142	207	71625734	9724	-7.146755
a	A	0	0.00000008830997	52	588834986	19732	0
