mod_code	motif	offset	frac_mod	high_count	low_count	mid_count	log_odds
m	CG	0	0.83150357	16220399	3286912	5533894	11.520537
h	CG	0	0.0041978294	92485	21939139	3009581	8.946551
m	CA	0	0.0028661822	349422	121562572	475428	-5.142087
m	CT	0	0.00084499974	81388	96235801	151469	-6.7197943
m	CC	0	0.00062240125	38277	61460633	55882	-6.918065
h	CA	0	0.0000146263465	1789	122311736	73897	-5.144507
h	CT	0	0.000004344253	419	96448846	19393	-6.723235
h	CC	0	0.0000030383394	187	61546592	8013	-7.016592
a	A	0	0.000000037443034	19	507437520	17495	0
