mod_code	motif	offset	frac_mod	high_count	low_count	mid_count	log_odds
m	CG	0	0.8014995	9742709	2412893	3513282	11.560287
h	CG	0	0.004963082	68771	13787740	1812373	9.243637
m	CA	0	0.0022801254	191492	83791610	293781	-5.2561073
m	CT	0	0.0006975093	46485	66597784	99850	-6.7829113
m	CC	0	0.00048496836	21017	43315831	35426	-7.0727386
h	CA	0	0.000014364587	1210	84233728	41945	-5.2802954
h	CT	0	0.0000038961284	260	66732654	11205	-6.9917617
h	CC	0	0.0000029745788	129	43367356	4789	-7.1631656
a	A	0	0.000000011544119	4	346496758	12208	0
