type	motif	median_meth	IQR_low	IQR_high	IQR	n_regions
50kbp_bin	CA	0.007301250254	0.00508647590466667	0.00958742582166667	0.004500949917	57021
50kbp_bin	CC	0.00206903351316667	0.00148976808048333	0.002823194492	0.00133342641151667	56889
50kbp_bin	CT	0.003059762529	0.002368917145975	0.003884524078	0.001515606932025	57011
gene_body	CA	0.00545620950116667	0.00298406148970833	0.00828660740554167	0.00530254591583333	33182
gene_body	CC	0.00170447347433333	0.000952881311258333	0.00270234285293333	0.001749461541675	32771
gene_body	CT	0.00251794416755	0.001591334678675	0.00363974432658333	0.00204840964790833	33162
promoter	CA	0.00355985307861429	0.00135131421318	0.00787598696775	0.00652467275457	44611
promoter	CC	0.00101010101	0	0.00242075236355556	0.00242075236355556	43985
promoter	CT	0.00188567905553	0.0008047340088025	0.00416957883853571	0.00336484482973321	44515
