type	modification	median_meth	IQR_low	IQR_high	IQR	n_regions
50kbp_bin	5mC	0.658422952666667	0.603175260791667	0.710576133116667	0.107400872325	28252
50kbp_bin	5hmC	0.0855117565833333	0.0669037818333333	0.105214987875	0.0383112060416667	28252
CGisland	5mC	0.202202632	0.000595238166666667	0.735584109791667	0.734988871625	10880
CGisland	5hmC	0.0250720679166667	0.00034638045	0.102139455775	0.101793075325	10880
gene_body	5mC	0.650357719833333	0.567836711333333	0.715428032958333	0.147591321625	32264
gene_body	5hmC	0.0748606096666667	0.0569142456666667	0.0964872570833333	0.0395730114166667	32264
promoter	5mC	0.613553786416667	0.357732086804167	0.786697428541667	0.4289653417375	45550
promoter	5hmC	0.0403468589166667	0.019547791675	0.0694632003	0.049915408625	45550
